ET,TC,WT
0.7878266,0.65792936,0.37331185
0.6947405,0.5819461,0.8104951
0.5174612,0.53825516,0.7308437
0.6044127,0.22374259,0.70038235
0.4239175,0.48755723,0.22821316
0.5610202,0.45264047,0.715221
0.84169334,0.8002835,0.8796129
0.41009045,0.90500605,0.7932794
0.75174403,0.561359,
0.80685884,0.9183035,0.89254344
0.51197255,0.84356177,0.6057295
0.30092636,0.16969794,0.9201917
0.5306249,0.36326492,0.5292987
0.6723551,0.5362534,0.6582389
0.47215873,0.52968854,0.2673693
0.4074011,0.54030406,0.70700717
0.052746426,0.18311705,0.33776283
0.014367772,0.1505763,0.02955133
0.7628705,0.6211696,0.8651461
0.7429741,0.71217465,0.832536
0.35604632,0.59658754,0.4898286
0.049188733,0.19805546,0.0
0.09065308,0.61223316,0.6247331
0.07930824,0.41854182,0.4046332
0.4372321,0.3456984,0.74367493
0.67684925,0.8799664,0.8617455
0.4589673,0.5353155,0.6780307
0.64665055,0.47083592,0.7466974
0.4387905,0.56394804,0.73228186
0.0013127051,0.112798356,0.011587486
0.7916673,0.91926134,0.80213195
0.739457,0.9493797,
0.49063295,0.48744926,0.8267075
0.82806927,0.8073512,0.79858774
0.8730091,0.8997292,0.87460786
0.70274675,0.8415452,
0.35322428,0.6936216,0.74706274
0.17020345,0.28337783,0.7103381
0.6787027,0.36233494,0.77054816
0.65997696,0.8703776,0.58102894
0.15177724,0.16837157,0.0005016932
0.22002599,0.4050363,
0.7787748,0.6363307,0.854453
0.78648126,0.805859,0.8273668
0.52756107,0.3787322,0.56159604
0.47065496,0.47713324,0.78375316
0.59292394,0.84877783,0.7247652
0.047627386,0.5383844,0.116196826
0.6731573,0.7866202,0.7447733
0.6294936,0.62615365,0.824413
0.14885545,0.15433092,0.0
0.09501109,0.4289643,0.31918216
0.41872925,0.60780096,
0.8090233,0.6683347,0.8732905
0.85746133,0.8056551,0.90199095
0.52797496,0.6669166,0.8138712
0.5405098,0.40034005,0.6178456
