ET,TC,WT
0.91104466,0.90393144,0.45070994
0.8977968,0.87760156,0.891021
0.7722259,0.911996,0.8199507
0.7737449,0.6944778,0.679173
0.28993955,0.8285151,0.85326636
0.8876987,0.906529,0.8241026
0.9048616,0.90056825,0.91867363
0.3779213,0.8866649,0.7651121
0.0072454945,0.92673725,
0.8401863,0.8971189,0.84663624
0.6288699,0.90308046,0.570322
0.9350396,0.89277667,0.9239705
0.38628995,0.6045573,0.24437845
0.8851002,0.83339405,0.7834247
0.66249096,0.89467853,0.7917861
0.83785415,0.91191083,0.6961074
0.87042284,0.86165047,0.84455323
0.5442931,0.71473473,0.84995097
0.8216816,0.94180363,0.9350629
0.9356023,0.91042763,0.8679829
0.24471743,0.8185663,0.26156294
0.16828835,0.8533667,0.088495575
0.8263808,0.94184923,0.78263545
0.62904537,0.7049982,0.62279624
0.8728018,0.8916375,0.7250859
0.88888615,0.8814802,0.83294827
0.8842229,0.8493569,0.88488364
0.9300465,0.8383548,0.8309228
0.7811013,0.8202523,0.7855806
0.6564274,0.65447253,0.68206185
0.90275335,0.9429454,0.8809432
0.0,0.90592384,
0.9190277,0.9388523,0.91944695
0.80145055,0.8163775,0.79683363
0.87778336,0.9491406,0.9243988
0.73041284,0.9111635,
0.70267254,0.9222681,0.77878237
0.8640379,0.7533911,0.7290775
0.87912834,0.87772083,0.68485516
0.7028285,0.8858,0.64032894
0.09954112,0.8931321,0.0
0.7447242,0.91675055,
0.85770637,0.9296634,0.80210173
0.8188842,0.9138909,0.83045465
0.8284854,0.88517004,0.8364104
0.8505519,0.90074515,0.797113
0.9442008,0.9383745,0.88414454
0.31557614,0.920752,0.6299595
0.8892561,0.65907586,0.7548227
0.85367894,0.9294201,0.9018147
0.5321957,0.7526419,0.3734793
0.68165916,0.7766557,0.56725144
0.4688913,0.82421494,
0.9105452,0.92136043,0.90842456
0.87693274,0.923655,0.9214755
0.8909272,0.8854079,0.81401324
0.79903203,0.84647745,0.6250301
