ET,TC,WT
0.94054365,0.8472521,0.47931123
0.8512562,0.7223302,0.8356561
0.7529701,0.8057265,0.75617945
0.7152706,0.57854474,0.62285113
0.28049633,0.69471043,0.8232388
0.8742877,0.8627616,0.7582066
0.9091962,0.8875642,0.91739583
0.34098092,0.89554226,0.74314576
0.10827205,0.9104043,
0.8195487,0.8862784,0.83360153
0.61338556,0.848181,0.570002
0.8836647,0.8509007,0.8852694
0.8139263,0.49901688,0.33907387
0.78658116,0.8049959,0.6848903
0.33398503,0.78575176,0.6663713
0.75076604,0.89097726,0.6975187
0.605502,0.24522011,0.6256049
0.41095892,0.39314923,0.4497561
0.84456617,0.9279754,0.9125672
0.8735897,0.83977526,0.8485593
0.22124274,0.67365456,0.26021865
0.004672576,0.48141333,0.0
0.7260199,0.9172423,0.6728809
0.4727508,0.651124,0.5373305
0.6177719,0.8343563,0.5929093
0.80423194,0.88747233,0.8011457
0.8432462,0.8409709,0.86134386
0.6852007,0.6647613,0.6944191
0.7231895,0.62198275,0.7424167
0.6442676,0.43578923,0.6201822
0.91754806,0.93428415,0.8614546
0.49888873,0.8697394,
0.922155,0.93470204,0.90379876
0.78593737,0.78865004,0.7671071
0.8716644,0.892183,0.8484653
0.5611252,0.8386945,
0.4132562,0.91919905,0.71693295
0.8324262,0.73443466,0.72174156
0.729321,0.85885257,0.60495263
0.67677665,0.88496023,0.5151211
0.22619829,0.8275002,0.0
0.41212046,0.785573,
0.7241844,0.85367846,0.7286501
0.72542,0.7192793,0.79205096
0.81200236,0.8433531,0.8102508
0.79095626,0.8811514,0.7427342
0.83456177,0.9047292,0.8100061
0.06044714,0.86762303,0.10895429
0.7729237,0.54849577,0.66379166
0.8437397,0.8906932,0.8657307
0.06634747,0.44948575,0.16689655
0.67367315,0.615603,0.29565218
0.32790968,0.73333013,
0.88937765,0.9212988,0.86751837
0.86747915,0.8793444,0.90959495
0.727479,0.8702678,0.7417108
0.34073302,0.5745555,0.47367594
