ET,TC,WT
0.9572303,0.88639325,0.48147085
0.9240732,0.9110207,0.90336937
0.7855505,0.9122192,0.8516695
0.78385514,0.6806987,0.68341964
0.27932057,0.85631514,0.8540455
0.9019939,0.88952476,0.8302915
0.9443377,0.90994126,0.9351201
0.39372468,0.89832175,0.7840229
0.49316266,0.93961173,
0.89019805,0.9163551,0.8552946
0.62432635,0.8922063,0.61836076
0.9162304,0.91074723,0.9197635
0.8821797,0.6471907,0.4035021
0.85603696,0.8330086,0.7690895
0.6615702,0.89643335,0.79333043
0.8320965,0.9200064,0.72691834
0.8509479,0.8302163,0.81097335
0.15239803,0.43550304,0.5183507
0.92072564,0.95159596,0.9378251
0.9460638,0.89728546,0.88700736
0.1827419,0.7191254,0.21148002
0.52118546,0.8629148,0.18393782
0.630303,0.9238131,0.7627168
0.5578292,0.746168,0.59347653
0.6622512,0.89312214,0.67001694
0.8976839,0.8952907,0.84648764
0.8126996,0.7195978,0.88030565
0.8522921,0.82097936,0.7898587
0.7574352,0.8221073,0.7660291
0.68663216,0.62403846,0.70310825
0.94632906,0.94709384,0.89208883
0.62677205,0.9147376,
0.95233166,0.94084954,0.92734677
0.81821334,0.823359,0.79933506
0.9374909,0.95850396,0.9247226
0.6868311,0.90668255,
0.8333529,0.9402585,0.7837691
0.8214757,0.8303416,0.749407
0.81232166,0.86583275,0.6594219
0.7711447,0.93459123,0.66702807
0.57907295,0.9118216,0.0
0.6712929,0.90805,
0.8798967,0.92603767,0.8178865
0.87140584,0.9185731,0.8402618
0.8572296,0.89074737,0.85489404
0.80302763,0.9145825,0.7676291
0.91561997,0.9479217,0.86363465
0.7138712,0.81953657,0.6997389
0.8946717,0.7082456,0.7581786
0.9228764,0.9416128,0.87641096
0.48713303,0.7336035,0.3107275
0.71084034,0.8106089,0.40945625
0.2391412,0.8325248,
0.93943775,0.9358008,0.9015604
0.9261132,0.910163,0.9340099
0.8896718,0.90478873,0.817383
0.72507304,0.8025025,0.61802
