ET,TC,WT
0.95471007,0.876896,0.5278414
0.9045133,0.8377831,0.8719863
0.73874456,0.9084192,0.79375774
0.7677737,0.62539005,0.6525475
0.54579955,0.87844443,0.8286168
0.90353143,0.8420144,0.8209922
0.92013127,0.92591655,0.9232695
0.3957057,0.90041333,0.7883171
0.79620475,0.90361905,
0.8552762,0.9012076,0.8291742
0.51102054,0.91425306,0.5870079
0.91081846,0.8607617,0.91603214
0.810849,0.51902145,0.6138199
0.8187561,0.83124655,0.77180517
0.6177386,0.87650716,0.5194805
0.7590386,0.91198236,0.7193912
0.8872539,0.75837195,0.8220859
0.42541924,0.60935277,0.45334637
0.8054637,0.94130135,0.93749005
0.9154031,0.88003653,0.8723268
0.22827293,0.6592383,0.27515984
0.0050813705,0.5630046,0.0
0.1365972,0.9214703,0.8327902
0.58840835,0.61026055,0.61923075
0.9063027,0.8694201,0.7475339
0.7483927,0.8827096,0.8085442
0.778573,0.697836,0.8429273
0.84628254,0.8051002,0.77989906
0.7090551,0.8015477,0.7306241
0.4829024,0.115550034,0.5002644
0.92823374,0.9504211,0.86693466
0.68732816,0.9437316,
0.9513771,0.95969486,0.93443376
0.78237027,0.84394956,0.7786235
0.92434996,0.94120896,0.90691483
0.103398584,0.8535074,
0.67244,0.9301209,0.7416851
0.8713666,0.7547291,0.74170595
0.80138826,0.8866576,0.72775114
0.69178194,0.9180065,0.47736564
0.7004213,0.88187337,0.0
0.6756017,0.9212105,
0.7534354,0.9244778,0.76410925
0.5665261,0.789213,0.66001534
0.8500953,0.8578328,0.83963215
0.8300578,0.6647425,0.8209576
0.8118496,0.93042934,0.86743665
0.0622084,0.789405,0.17222679
0.8406003,0.6240279,0.7358247
0.848894,0.88580316,0.90892357
0.50961256,0.7943884,0.622093
0.51854765,0.782736,0.61019385
0.5016787,0.8182948,
0.91813725,0.9327362,0.9018332
0.8834329,0.9177838,0.92123145
0.7927366,0.8891175,0.79292744
0.47642952,0.70547354,0.5729623
