ET,TC,WT
0.0,0.0,0.0
0.82175887,0.82405615,0.8771761
0.7656306,0.71810776,0.8286616
0.76046664,0.5187878,0.6600527
0.26155597,0.71447563,0.705771
0.0,0.003629392,0.0
0.88590515,0.9059584,0.8721648
0.0,0.03454042,0.0
0.012110929,0.16166788,
0.002176537,0.28469938,0.0033736853
0.34225467,0.25660014,0.4193583
0.90286666,0.6839145,0.90483195
0.83191586,0.4964029,0.142289
0.86105335,0.7459295,0.6173215
0.51842237,0.80863196,0.65286505
0.0,0.0,0.0
0.78907365,0.4773536,0.65940857
0.34297144,0.51485205,0.3180363
0.010717726,0.031849362,0.0065385117
0.7638911,0.7714558,0.8224929
0.26173934,0.57861114,0.24134585
0.017717207,0.7817836,0.0
0.19846727,0.84353614,0.6264657
0.5627559,0.8150965,0.64378744
0.0,0.0,0.0
0.050114486,0.27155384,0.0893733
0.79162407,0.750597,0.87328905
0.7484325,0.72738624,0.74409384
0.6235003,0.5898943,0.6775402
0.64617616,0.6228475,0.73863214
0.0041152965,0.16445945,0.00661238
0.06322466,0.14851238,
0.0,0.000102523096,0.0
0.81703305,0.7506305,0.7832742
0.84236,0.88112783,0.7973946
0.3974899,0.7814984,
0.0,0.009458896,0.0
0.8748897,0.77907914,0.82079166
0.0,0.0,0.0
0.73511696,0.8911252,0.6368825
0.6552517,0.7689081,0.0016806723
0.3648409,0.7726855,
0.8152437,0.8369349,0.8681204
0.47226375,0.6005294,0.57067317
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0689501,0.7422687,0.28831816
0.78732806,0.745679,0.7416463
0.0,0.0,0.0
0.48369896,0.78062624,0.27255028
0.6283568,0.6360966,0.18483174
0.3714833,0.70732373,
0.0,0.0,0.0
0.8918897,0.8652617,0.9102554
0.0,0.011121707,0.0
0.32910582,0.5115952,0.40263888
