ET,TC,WT
0.9450635,0.8833658,0.48727015
0.87980926,0.93108,0.90567213
0.8054796,0.9286013,0.83788836
0.7883063,0.7111268,0.69179934
0.5073023,0.88831884,0.87240124
0.89830506,0.9181204,0.8418797
0.95965433,0.91020316,0.9493543
0.5138779,0.9061831,0.8023627
0.73345476,0.942365,
0.9308262,0.9354811,0.88884526
0.6509824,0.91583127,0.5870533
0.9159288,0.9124182,0.9171212
0.8615428,0.679922,0.5083362
0.9041049,0.8438451,0.8009423
0.71730304,0.898393,0.66917807
0.8553274,0.928903,0.73973584
0.76326114,0.701519,0.83742225
0.25399396,0.6084472,0.54953873
0.9326634,0.9582143,0.94697505
0.9216602,0.9024051,0.89836174
0.32624343,0.7689064,0.3063673
0.5706559,0.88051623,0.17889088
0.15773252,0.9392058,0.7639815
0.42356387,0.72046256,0.5939684
0.86603403,0.91536117,0.749913
0.90424305,0.8845387,0.8640322
0.80605984,0.6351218,0.8974696
0.92683786,0.8921746,0.8130179
0.7326505,0.85512984,0.7324717
0.6013481,0.7066107,0.7071203
0.9368708,0.95316994,0.90007985
0.7843877,0.9445202,
0.9682928,0.9596031,0.9456242
0.83067,0.8376546,0.80774105
0.9279991,0.96066135,0.93462753
0.7623751,0.9034411,
0.6833595,0.9435165,0.7796244
0.88840866,0.80498785,0.79064256
0.9307063,0.89900833,0.7633766
0.673311,0.92069376,0.6113817
0.6411636,0.8689679,0.015209125
0.75209415,0.9204036,
0.86726654,0.9427454,0.8238618
0.8646422,0.9316796,0.8113245
0.8662038,0.884375,0.8552536
0.74155456,0.6538994,0.82709855
0.83152103,0.93182987,0.86953354
0.06421644,0.6913609,0.16253264
0.8530033,0.8066895,0.79249126
0.81696975,0.90676504,0.90221524
0.5967286,0.83600134,0.61297965
0.5573482,0.8562178,0.574612
0.32458204,0.71617305,
0.9382665,0.9384945,0.9101358
0.9410075,0.9348358,0.9409355
0.87125486,0.90931326,0.8463221
0.8430384,0.8721569,0.6965589
